0,0
0,1
0,2
1,2
2,2
3,3
4,3
5,3
5,4
5,5
5,6
5,7
5,8
5,9
5,10
5,11
5,12
5,13
5,14
5,15
5,16
5,17
5,18
5,19
5,20
5,21
5,22
5,23
5,24
5,25
5,26
5,27
5,28
5,29
5,30
5,31
5,32
5,33
5,34
5,35
5,36
5,37
5,38
5,39
5,40
5,41
5,42
6,42
7,42
8,42
9,42
10,42
11,43
11,44
11,45
11,46
11,47
11,48
11,49
11,50
11,51
11,52
11,53
12,53
13,53
14,53
15,53
16,53
17,53
17,54
17,55
17,56
17,57
17,58
17,59
17,60
17,61
17,62
17,63
17,64
17,65
17,66
18,67
19,68
20,68
20,69
21,70
22,70
23,70
24,71
25,71
26,71
27,71
28,71
29,72
30,72
31,72
32,72
32,73
32,74
32,75
33,75
34,75
35,75
35,76
36,77
37,77
38,77
39,77
40,77
41,77
42,77
43,77
44,77
45,77
46,77
47,77
47,78
48,79
49,79
50,79
50,80
50,81
50,82
50,83
50,84
50,85
50,86
50,87
50,88
50,89
51,89
52,89
53,89
54,89
55,90
56,90
56,91
57,91
58,91
59,91
60,92
61,92
62,92
63,92
63,93
63,94
63,95
63,96
63,97
63,98
63,99
63,100
