,city021_001,city021_002,city021_003,city021_004,city021_005,city021_006,city021_007,city021_008,city021_009,city021_010,city021_011,city021_012,city021_013,city021_014,city021_015,city021_016,city021_017,city021_018,city021_019,city021_020,city021_021,city021_022,city021_023,city021_024,city021_025,city021_026,city021_027,city021_028,city021_029,city021_030,city021_031,city021_032,city021_033,city021_034,city021_035,city021_036,city021_037,city021_038,city021_039,city021_040,city021_041,city021_042,city021_043,city021_044,city021_045,city021_046,city021_047,city021_048,city021_049,city021_050,city021_051,city021_052,city021_053,city021_054,city021_055,city021_056,city021_057,city021_058,city021_059,city021_060,city021_061,city021_062,city021_063,city021_064,city021_065,city021_066,city021_067,city021_068,city021_069,city021_070,city021_071,city021_072,city021_073,city021_074,city021_075,city021_076,city021_077,city021_078,city021_079,city021_080,city021_081,city021_082,city021_083,city021_084,city021_085,city021_086,city021_087,city021_088,city021_089,city021_090,city021_091,city021_092,city021_093,city021_094,city021_095,city021_096,city021_097,city021_098,city021_099,city021_100
city022_055,0.882529,0.988306,0.927928,1.007777,0.958214,1.043797,1.062374,0.987911,0.978968,1.0207,0.865096,0.938644,1.02221,0.863724,1.035268,0.950682,1.089833,1.220669,0.886765,0.856087,0.864799,1.050953,0.947759,1.09192,0.871768,0.858444,1.030754,0.915444,1.023236,1.086391,1.022076,1.013389,1.042149,1.064793,0.984078,0.862341,1.269322,0.873135,0.864072,1.28142,1.048973,0.962827,0.880285,0.863002,0.899455,0.920902,1.061198,0.878193,1.025263,0.894451,0.974017,1.153764,0.969877,1.033238,0.463575,0.986164,0.892227,0.909877,0.913566,0.950436,0.72805,0.960766,0.856818,0.999876,1.109772,0.944484,0.957653,0.896201,1.244649,1.027035,0.972322,1.004873,1.083154,0.881344,1.11267,0.992009,0.864636,0.92657,0.8827,0.740244,1.036683,1.093687,0.871596,1.088544,1.03093,0.863005,0.878147,0.887051,0.891282,1.078446,0.942144,0.967138,1.165956,0.797618,0.794105,0.864385,1.017298,0.744101,1.142138,0.780917
city022_056,1.009582,0.92753,0.891179,0.882051,0.907592,0.909945,0.936222,0.934821,0.855242,1.183469,0.873857,1.071151,1.141009,0.766179,1.107285,1.122312,1.063756,1.285423,0.804233,0.970806,1.017665,1.018188,0.921468,0.893011,0.995931,0.900338,1.037568,0.773436,0.873453,0.862739,1.018569,0.958414,0.96921,0.870575,0.969552,0.833907,0.982117,0.967597,0.984335,1.084085,1.054861,0.913461,0.994436,1.03755,0.960403,0.946287,0.975447,0.87279,1.010771,0.717343,0.941994,1.060822,0.86162,0.998708,1.003353,0.431908,0.984784,0.844866,0.981135,0.850534,0.782663,0.915528,0.827394,0.797015,0.925752,0.881501,1.097361,1.030444,0.934792,0.963887,1.168273,1.013364,1.064845,0.815346,0.930089,0.917786,1.020955,0.938146,1.004783,1.01693,0.982257,0.913141,0.984549,0.878452,0.962225,0.949078,0.971726,0.865083,0.875162,0.976292,0.939388,1.005934,1.061053,0.818277,0.928876,0.871169,0.911577,0.971837,1.020518,1.013425
city022_057,0.928565,0.933328,0.9581,0.986174,0.914546,1.051583,1.008157,0.994604,0.934249,0.945829,0.994026,1.177906,1.033016,1.04614,1.177814,1.063728,1.093191,1.246795,0.992122,0.816108,0.952449,0.906651,0.879929,1.097324,0.9162,1.075609,1.200974,1.005705,1.029028,0.973598,0.983124,1.053593,1.092447,1.090299,0.947918,1.052699,1.242907,1.016702,1.044636,1.123637,0.855719,0.992204,0.686729,0.98893,0.788958,1.069381,0.971016,0.999356,0.820641,0.924077,1.022944,1.147829,0.962279,1.052455,0.93283,0.881176,0.489539,0.894537,1.170152,0.954298,0.909788,0.837362,0.968966,0.85734,1.079409,0.958827,0.878355,1.164336,1.355087,1.017196,0.995959,1.029838,1.046204,0.964075,1.105656,0.953561,0.995186,1.111024,1.056906,0.986405,1.167281,0.981102,1.047505,1.145315,0.908525,1.098525,0.925621,0.880821,1.042725,1.021783,0.932455,1.034166,0.999983,0.875924,1.027375,0.93785,0.90935,1.00566,1.111767,0.963622
city022_058,0.941815,0.907608,0.866997,0.91425,0.966731,0.943479,1.138956,1.062633,0.924783,1.152747,0.92475,0.961439,0.951178,0.999911,0.911979,0.859941,1.086244,1.369987,1.068886,0.783522,0.767145,1.078047,0.86583,1.051997,0.89117,0.964707,1.062715,0.903683,0.956552,0.782202,0.958456,0.868146,0.828031,0.939533,0.878434,0.977508,1.129321,0.926069,0.924537,1.290276,1.136599,1.067143,1.014427,0.894882,0.948782,0.997971,0.992306,1.067327,0.987394,0.771915,0.997479,1.180569,1.089624,0.892457,0.887696,0.821665,0.927497,0.498873,1.218157,0.765884,0.90571,0.714819,0.957288,0.964345,1.042357,0.790688,0.947902,0.880081,1.134759,1.073233,1.149054,1.188052,0.948881,0.938299,1.153889,0.998492,1.091533,1.089889,1.129966,0.900733,1.103689,0.912688,0.913273,1.071547,0.889206,0.923708,1.006187,0.973546,1.026809,1.06921,0.929245,1.225604,1.21742,0.895641,0.9985,0.902326,1.064831,0.932093,1.012314,0.836329
city022_059,1.111398,1.018059,0.991229,1.125662,0.948558,1.103822,0.952688,0.99126,1.022247,1.251545,0.973617,1.177795,1.21651,0.846572,1.177047,1.379193,1.148613,0.901907,0.847042,1.246895,1.182251,1.129617,1.154504,1.063537,1.244374,1.056622,0.935667,1.00732,1.024264,1.083067,1.155216,1.104941,1.212498,0.962619,1.284244,0.88529,1.133164,0.983327,1.17141,0.977362,1.04503,0.799041,1.06532,1.214419,1.083899,1.015453,1.177458,0.890918,1.308478,1.141514,1.116103,1.087461,0.947636,1.140005,0.97911,0.995342,1.07777,1.347969,0.378542,1.155631,0.865619,1.299137,1.019871,0.960372,0.828452,1.15109,1.279253,1.262341,1.018928,1.151817,1.09313,0.958864,1.204796,1.071035,0.894807,1.081796,0.984119,0.786252,0.918303,0.935969,1.098821,1.120749,1.070002,0.931006,1.225271,0.906093,0.934158,1.05105,0.835305,0.981761,1.028113,0.818024,0.962437,0.884925,0.802766,0.802742,0.869072,1.017256,1.110547,1.141933
city022_060,0.927968,0.892704,0.822069,0.833747,0.982139,0.912005,1.065142,1.025025,0.943201,1.190417,0.880146,0.967336,0.954724,0.941202,0.978905,0.966382,1.106701,1.293288,0.972857,0.709688,0.881628,1.080418,0.873756,0.95454,0.942999,0.98985,0.886096,0.886906,0.935121,0.694949,1.022973,0.985848,0.870375,0.867147,0.967913,1.000687,1.096841,0.871886,1.006787,1.22532,1.084227,1.06935,0.994328,0.927845,0.992096,0.922816,0.952624,0.947446,0.965467,0.711818,0.837142,1.215916,0.97721,0.890735,0.924947,0.768004,0.930613,0.683332,1.061332,0.455437,0.801678,0.728167,0.919226,0.796321,1.011578,0.809058,0.963105,1.008417,1.112969,1.11934,1.241737,1.16606,1.017629,0.840871,1.118509,1.031752,1.143432,1.01024,1.083624,1.091912,0.987003,0.866436,1.009815,1.035799,0.999644,1.022749,1.023517,0.987052,1.022391,0.889976,0.869306,1.130165,1.128358,0.858553,1.042338,0.784471,0.97286,0.968108,0.992683,0.805418
city022_061,0.802108,0.899783,0.947499,0.986837,0.880066,1.018818,1.02138,0.965621,0.871888,1.146415,0.999462,1.19014,1.07753,0.908328,1.24142,1.145314,1.15876,1.181875,0.951831,1.077827,0.996274,1.106778,0.988574,1.111412,1.050773,0.755504,1.097577,0.905866,1.029297,1.035601,1.067865,1.057374,1.071789,1.060387,1.057067,0.61909,1.212005,0.996151,0.827605,1.255883,1.008503,0.865371,0.836131,0.914216,0.928537,0.981477,1.063838,0.826004,1.024505,0.919709,1.052469,1.133979,0.82523,1.178575,0.910348,0.777296,0.93071,1.045152,0.869823,0.933517,0.424013,1.013073,0.685097,0.862548,0.862272,0.813001,1.036011,1.138085,1.103489,1.133664,1.09538,1.013978,1.181099,0.915592,0.907996,0.964809,0.927227,0.893084,0.969689,0.913891,1.051125,1.076157,0.903603,0.85434,0.940948,0.767436,0.869166,0.819384,0.848014,1.053134,1.023109,0.946053,1.096673,0.670387,0.767669,0.685966,0.929045,0.850368,1.14287,0.986095
city022_062,0.911811,0.910749,0.887924,0.875726,1.042725,1.075535,1.252483,1.254501,1.011128,1.180148,0.97569,1.023981,0.992104,1.151425,0.997794,0.850202,1.120405,1.633591,1.271602,0.761807,0.822829,1.148051,0.859901,1.109731,0.860113,1.099616,1.187674,1.103243,1.021163,0.724967,1.129651,0.939173,0.928933,0.946812,0.928397,1.021688,1.14894,0.968992,0.922023,1.486054,1.126826,1.133428,1.001163,0.840621,0.983325,1.017421,0.984723,1.132745,0.915773,0.820198,1.000654,1.29432,1.212083,0.901001,0.983831,0.926346,0.856496,0.723272,1.354837,0.793167,1.027189,0.431814,1.081217,0.989289,1.135181,0.73395,0.884092,1.042823,1.422021,1.126772,1.405066,1.333343,0.995109,1.055248,1.252759,1.023992,1.205928,1.13371,1.197824,1.166444,1.149757,0.898162,1.093304,1.097769,0.793032,1.100449,1.122074,0.942709,1.158686,1.032528,0.840427,1.273329,1.32143,0.8877,1.117054,0.934547,1.043204,1.111253,1.12754,0.893242
city022_063,0.732027,0.97678,0.986173,1.022224,0.834556,0.794361,1.076562,0.932738,0.93537,1.014242,0.933669,1.086973,1.096342,0.889352,1.178903,1.086557,1.188932,1.073649,0.834235,1.029207,0.993203,1.105987,0.957642,1.050116,0.938193,0.614408,1.095181,0.832382,0.991898,1.025892,1.026462,1.095804,1.161976,1.046099,1.020382,0.701543,1.30876,1.060592,0.777074,1.227017,0.968472,0.913074,0.896233,0.878495,0.936078,1.036769,1.097409,0.939477,0.98589,0.920036,1.146744,1.22406,0.972484,1.179244,0.901164,0.818865,0.952459,0.987702,0.988324,0.991356,0.614893,1.033916,0.459295,0.808652,0.772682,0.872452,0.964103,1.158695,1.148588,0.990529,0.97626,1.106579,1.056104,0.869768,1.003824,0.897043,1.075524,0.97944,0.832698,0.946828,1.090937,1.088556,0.983331,0.856963,1.058627,0.892609,1.04392,0.886481,0.861737,1.084061,1.063077,0.938349,1.160795,0.770851,0.920327,0.901607,0.960022,0.762602,1.108042,0.949293
city022_064,1.118941,0.863348,0.999092,0.945989,1.043317,0.824677,1.069477,0.972389,1.040954,1.219574,1.073737,1.122835,1.069522,0.976115,1.248376,1.055896,1.062282,0.990046,0.946132,1.022462,0.976932,1.036931,0.895828,0.975254,1.050272,1.051426,1.031139,1.085353,0.958252,1.020806,1.169341,1.097241,1.072927,0.976587,1.10138,0.931119,1.099121,1.015667,1.166929,1.199385,1.054126,1.061661,0.910905,1.182565,0.987328,0.897775,1.061056,0.89151,1.108884,0.88043,1.030638,1.203563,1.00577,1.28127,1.103762,0.909519,1.025778,1.057331,0.955237,0.888116,0.870464,0.943511,0.883886,0.467397,0.916598,0.863898,1.058058,1.229425,1.107529,1.08847,1.061495,1.092955,1.210256,0.846953,0.955143,1.10477,1.08872,0.938157,1.051651,1.044688,1.052646,0.885882,1.02813,0.973628,0.946197,1.044427,0.998035,1.019138,0.942456,0.953846,1.016462,1.003245,1.093927,1.005597,0.956867,0.717042,0.870597,0.928548,1.000583,1.049404
city022_065,0.888084,0.992326,0.97402,1.075836,0.773557,0.869295,1.035261,0.95647,0.974894,1.075515,1.011552,1.168527,1.110128,0.91682,1.115124,1.248523,1.042548,1.005876,0.853351,1.095744,1.157719,1.086723,0.995212,0.951233,1.080994,0.871838,0.991406,0.921913,0.952261,1.034557,1.059584,1.065941,1.123435,0.960003,1.16056,0.857227,1.09217,1.05603,0.839054,1.077614,0.90553,0.881973,0.940437,1.002525,0.956647,0.958553,1.022597,1.008717,1.054741,1.054473,1.049361,1.047143,0.898646,1.10373,1.123924,0.92322,0.958043,1.139883,0.836168,1.055562,0.855707,1.091887,0.839647,0.900306,0.449177,1.007629,1.127783,1.208645,1.034131,0.994186,0.898306,0.970597,1.093225,1.010448,0.903159,0.881705,0.977696,0.934229,0.969303,0.979467,1.008333,1.080921,0.994823,0.89653,1.092698,0.845393,0.992024,0.978026,0.936272,0.955063,1.006152,0.900102,1.061378,0.891222,1.025615,0.944153,0.914027,0.899834,0.990552,1.110769
city022_066,1.035198,0.874256,0.967438,1.016984,1.076623,0.970756,1.188252,1.146776,0.905589,1.282137,1.029702,1.125529,0.889994,1.055859,1.123946,0.92911,1.179611,1.311407,1.064236,0.902438,0.944818,1.088236,0.885121,1.14957,1.026492,0.977528,1.169024,1.03102,1.020689,0.993879,1.089181,0.983428,0.902666,0.863964,0.972946,0.724281,1.130335,0.994479,0.873708,1.356062,1.097028,1.107561,1.029786,0.890835,1.139024,1.063899,1.122331,1.064871,1.023061,0.882397,1.073245,1.235506,1.006655,1.153894,1.072668,0.872851,1.011542,0.954366,1.142456,0.84989,0.795843,0.740387,0.919684,0.882427,0.990564,0.466951,1.075712,1.101708,1.223331,1.114618,1.264377,1.135574,1.10774,0.905989,1.090594,1.07755,1.062118,1.101527,1.117301,1.055746,1.130771,0.865749,1.041753,1.03007,0.977249,0.991056,1.012175,1.114236,1.126991,1.151619,1.075415,1.158001,1.161421,0.881621,1.062851,0.689527,1.12301,1.03574,1.149589,0.924032
